# msd, number of counts: 4388001
# column 1: time [ps]
# column 2: msd xyz [A^2]
# column 3: msd x [A^2]
# column 4: msd y [A^2]
# column 5: msd z [A^2]
# column 6: number of samples [-]
2.125 5.646408493242658e-23 1.9663100757783676e-23 1.1174726124289734e-23 2.5626258050353168e-23 (count: 175503)
2.25 6.305236036393545e-23 2.1969268706238684e-23 1.2433761522171861e-23 2.8649330135524907e-23 (count: 175502)
2.375 7.000527730553833e-23 2.4403417432245785e-23 1.3759908035760632e-23 3.184195183753191e-23 (count: 175501)
2.5 7.731965881796507e-23 2.69654641666414e-23 1.5151919342586808e-23 3.520227530873686e-23 (count: 175500)
2.625 8.499942257087992e-23 2.965554497131391e-23 1.661194568911509e-23 3.8731931910450917e-23 (count: 175499)
2.75 9.30427844268861e-23 3.2473444526344524e-23 1.813892474499189e-23 4.2430415155549684e-23 (count: 175498)
2.875 1.0144928457382285e-22 3.541924930337411e-23 1.9733347738159964e-23 4.6296687532288775e-23 (count: 175497)
3 1.1022113121958916e-22 3.849313306205494e-23 2.1395978854123543e-23 5.033201930341067e-23 (count: 175496)
3.125 1.1937266581155712e-22 4.1679262011373415e-23 2.3127814808521153e-23 5.456558899166255e-23 (count: 7019)
6.25 4.659785538153353e-22 1.633902732793714e-22 8.818222096070301e-23 2.1440605957526094e-22 (count: 7018)
9.375 1.0397300705506312e-21 3.6501174873775303e-22 1.951125421111711e-22 4.796057797017072e-22 (count: 7017)
12.5 1.840943880869077e-21 6.466659352375744e-22 3.4410730960758666e-22 8.501706360239158e-22 (count: 7016)
15.625 2.8695558233089163e-21 1.0082639559166043e-21 5.3515654344049025e-22 1.3261353239518216e-21 (count: 7015)
18.75 4.125371713261142e-21 1.4498519181919972e-21 7.68259570766802e-22 1.9072602243023426e-21 (count: 7014)
21.875 5.608453888056385e-21 1.9714412557411864e-21 1.043294585732358e-21 2.593718046582841e-21 (count: 7013)
25 7.318809121679706e-21 2.573091680037592e-21 1.3601511306746833e-21 3.3855663109674313e-21 (count: 7012)
28.125 9.256189604022708e-21 3.254849003094287e-21 1.7189141523448545e-21 4.282426448583566e-21 (count: 7011)
